Full Name,Position,Goals Scored,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,Bonus Point System Score,Influence,Creativity,Threat,ICT Index
Alex Oxlade Chamberlain,MF,3,7,5,28,0,0,0,3,0,0,5,423,548,625.1,494,166.5
Fabian Delph,MF,1,2,6,17,0,0,0,2,0,0,0,398,369.2,263.7,62,69.4
Jeffrey Schlupp,DF,0,2,3,30,0,0,0,3,0,0,0,281,339.6,189.7,155,68.6
Ciaran Clark,DF,2,1,4,30,0,0,0,3,0,0,6,317,433.6,50.8,190,67.5
Javier Manquillo,DF,0,1,4,31,0,0,0,2,0,0,1,247,266,164.8,26,45.9
James Milner,DF,0,3,6,25,0,0,0,3,0,0,4,459,437.2,615.5,272,132.5
Christian Atsu,MF,2,4,6,22,0,0,0,1,0,0,5,236,308.8,340.6,480,112.9
Marcus Rashford,FW,7,5,10,16,0,0,0,3,0,0,11,387,470.8,412.1,838,171.7
Fraser Forster,GK,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0,0,48.9
Jesse Lingard,MF,8,6,9,18,0,0,0,2,0,0,10,450,526.6,519.1,711,175.3
Laurent Depoitre,FW,6,2,4,34,0,0,0,1,0,0,14,283,352,191.4,451,99.6
Daryl Janmaat,DF,3,1,2,37,0,0,0,3,0,0,3,342,445,230.6,253,92.9
Alex Iwobi,MF,3,5,9,26,0,0,0,1,0,0,2,426,430,592.9,635,165.6
Ashley Williams,DF,1,0,5,31,0,0,0,3,1,0,3,332,518,39,132,68.9
Cuco Martina,DF,0,2,5,30,0,0,0,2,0,0,0,367,468.8,238.8,39,74.9
Andre Ayew,MF,3,5,3,42,0,0,1,5,0,0,2,249,319.4,283.1,429,102.7
Troy Deeney,FW,5,2,6,30,0,0,2,1,1,0,7,241,343,349.4,566,125.3
Solomon March,MF,1,3,6,29,0,0,0,3,0,0,3,303,357.4,320.9,316,99.8
Aaron Ramsey,MF,7,10,9,25,0,0,0,0,0,0,12,503,631.2,478.3,734,184.2
Benjamin Chilwell,DF,0,2,6,30,0,0,0,1,1,0,4,381,382.8,332.1,63,78
Steve Mounie,FW,7,2,6,32,0,0,0,2,0,0,12,269,377,270.7,600,124.5
Andrew Surman,MF,2,5,5,29,0,0,0,2,0,0,9,363,458,261.1,121,84
Sung yueng Ki,MF,2,2,5,29,0,0,0,2,0,0,9,340,307.2,338.1,152,79.7
Arthur Masuaku,DF,0,3,6,29,0,0,0,5,0,0,2,352,385,295.1,128,80.7
Dominic Calvert Lewin,FW,4,8,6,28,0,0,0,4,0,0,3,255,354,322.6,630,130.2
Ruben Loftus Cheek,MF,2,5,6,30,0,0,0,1,0,0,2,337,379.2,377,487,124.5
Willian Borges Da Silva,MF,6,8,9,19,0,0,0,1,0,0,13,522,640,891.5,715,224.5
Mousa Dembele,MF,0,0,7,22,0,0,0,6,0,0,3,358,309.2,303.1,73,68.5
Tom Davies,MF,2,2,6,24,0,0,0,7,0,0,3,223,242.8,207.2,218,65.8
Tom Cleverley,MF,1,2,6,33,0,0,1,1,1,0,3,300,332.2,464.8,124,92.1
Joseph Gomez,DF,0,2,9,22,0,0,0,3,0,0,9,480,437.4,285.6,46,76.9
Tommy Smith,DF,0,1,5,31,0,0,0,7,0,0,2,311,322,251.6,50,62.8
Aaron Lennon,MF,0,4,6,30,0,0,0,2,0,0,0,204,232.2,203.2,297,73.3
Leighton Baines,DF,2,3,5,34,0,0,0,1,0,0,10,381,407.4,373.5,102,88.2
Kieran Trippier,DF,0,7,9,21,0,0,0,1,0,0,18,539,459,617.5,78,115.6
Christian Fuchs,DF,0,1,4,35,1,0,0,1,0,0,8,370,396.6,282.2,55,73.5
Chris Brunt,MF,0,8,9,23,0,0,0,5,0,0,6,380,421.8,651.1,155,122.9
Juan Mata,MF,3,5,15,10,0,0,0,1,0,0,6,418,422.8,849.9,453,172.1
Gareth Barry,MF,1,2,4,35,0,0,0,4,0,0,0,287,347.8,274.9,195,82
Nathan Redmond,MF,1,3,7,31,0,0,0,3,0,0,3,296,347,630.9,493,147.2
Andrew Robertson,DF,1,5,10,18,0,0,0,2,0,0,12,514,424,414.5,174,101.3
Dan Gosling,MF,2,1,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274,93.3
Mike van der Hoorn,DF,1,0,8,27,0,0,0,4,0,0,4,396,460.6,72.6,160,69.4
Dwight Gayle,FW,6,3,6,31,0,0,0,3,0,0,8,276,352,333.6,808,148.7
Sergio Aguero,FW,21,6,13,12,0,0,0,2,0,0,22,740,966.4,570.8,1484,302.5
Phil Jones,DF,0,0,15,11,1,0,0,2,0,0,19,554,486.4,36.6,12,53.6
Jose Heriberto Izquierdo Mena,MF,5,5,5,32,0,0,0,2,0,0,4,324,385.4,311.3,618,131.3
Jack Stephens,DF,2,0,5,33,0,0,0,6,1,0,2,360,506.6,68.3,224,79.9
Callum Wilson,FW,8,2,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799,147.5
Jordon Ibe,MF,2,6,4,33,0,0,0,1,0,0,5,289,362,602.7,610,157.3
Joel Matip,DF,1,0,9,27,0,0,0,3,0,0,3,470,544.8,96.1,140,78.1
Steven Defour,MF,1,1,12,17,0,0,0,6,0,0,0,353,353.8,310.8,117,78.4
Ryan Fraser,MF,5,3,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413,155
Bruno Saltor Grau,DF,0,0,10,23,0,0,0,3,0,0,8,423,360.4,174.1,35,57.2
Mohamed Diame,MF,2,0,6,27,0,0,0,3,0,0,3,340,431.8,214.2,203,85.3
Manuel Lanzini,MF,5,7,6,44,0,0,1,4,0,0,11,470,559.4,624.9,502,168.8
Sam Clucas,MF,3,1,5,30,0,0,0,2,0,0,4,305,362.4,270.1,233,86.2
Maya Yoshida,DF,2,1,6,32,0,0,0,2,1,0,6,413,525.2,67,236,83
Alvaro Morata,FW,11,6,11,19,0,0,0,7,0,0,13,356,620.6,478.9,1192,228.8
Phil Jagielka,DF,0,0,6,39,0,0,0,2,0,0,5,415,529.2,24.1,108,66.2
Andreas Christensen,DF,0,0,8,23,0,0,0,0,0,0,4,475,466.6,66.5,109,64.3
Adam Smith,DF,1,3,2,38,0,0,0,6,0,0,3,376,455,345.5,144,94.5
Gary Cahill,DF,0,0,9,27,0,0,0,1,1,0,2,447,496.6,55.6,99,65.4
Matt Phillips,MF,2,3,10,32,0,0,0,3,0,0,3,276,370.2,531.8,345,124.7
Emre Can,MF,3,6,8,29,0,0,0,8,0,0,10,499,546.4,426.4,231,120.6
Florian Lejeune,DF,0,2,5,32,0,0,0,3,0,0,6,406,557,92.3,139,78.9
Victor Moses,DF,3,6,11,20,0,0,0,3,0,0,9,486,417,358.1,482,125.9
Tiemoue Bakayoko,MF,2,2,11,24,0,0,0,3,1,0,5,346,415.4,279.5,434,113.2
Morgan Schneiderlin,MF,0,0,6,38,0,0,0,4,1,0,1,344,361.2,159.2,52,57.2
Dejan Lovren,DF,2,1,11,24,0,0,0,4,0,0,10,539,656.4,104.5,242,100.2
Heurelho Gomes,GK,0,0,5,40,0,0,0,0,0,61,4,394,457,0.2,0,45.6
Rajiv van La Parra,MF,3,0,6,36,0,0,0,3,1,0,3,240,322.6,261.6,544,112.7
Paul Pogba,MF,6,13,11,20,0,0,0,5,1,0,15,528,710.8,663.5,780,215.6
Sead Kolasinac,DF,2,4,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3
Ashley Barnes,FW,9,0,5,23,0,0,0,10,0,0,9,290,407.2,274.8,797,145.8
Mesut Ozil,MF,4,9,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6
Jordan Henderson,MF,1,1,14,21,0,0,0,1,0,0,3,382,417,448.8,110,97.8
Patrick van Aanholt,DF,5,1,6,38,0,0,0,7,0,0,7,448,537,303.8,319,116.3
Glenn Murray,FW,12,0,8,36,0,0,2,9,0,0,16,319,492.4,271.8,779,153.1
Sadio Mane,MF,10,8,15,24,0,0,0,3,1,0,8,499,677.4,739.1,964,238
Alexandre Lacazette,FW,14,5,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258
Adrian Mariappa,DF,0,0,6,43,0,0,0,4,0,0,2,378,462,59.4,106,62.8
Darren Fletcher,MF,1,1,4,49,0,0,0,0,0,0,3,337,346.2,359.8,72,77.8
Laurent Koscielny,DF,2,0,9,32,0,0,0,4,0,0,16,556,692,123.8,137,95.5
Christian Benteke,FW,3,7,6,36,0,0,1,6,0,0,5,174,325.2,406.7,845,157.5
Lewis Cook,MF,0,2,3,42,0,0,0,5,0,0,0,337,456.4,423.3,126,100.7
Gaetan Bong,DF,0,0,6,36,1,0,0,2,0,0,5,369,346.2,154.6,18,52.1
Nacho Monreal,DF,5,2,10,29,0,0,0,3,0,0,15,604,693.6,238.7,305,124
Eric Maxim Choupo Moting,MF,5,5,5,45,0,0,0,3,0,0,9,341,505.6,327.5,851,168.1
Virgil van Dijk,DF,0,0,8,28,0,0,0,1,0,0,5,481,601,122.6,277,100.2
Gylfi Sigurdsson,MF,4,4,6,40,0,0,0,2,0,0,8,396,485.6,614.9,437,154
Jonjo Shelvey,MF,1,4,6,30,0,0,0,2,2,0,4,360,442.6,639.9,243,132.3
Wayne Rooney,FW,10,3,7,33,0,0,3,5,0,0,20,480,585,573.7,467,162.4
Jonny Evans,DF,2,2,6,38,1,0,0,7,0,0,5,455,536.2,104.2,211,85.1
Shkodran Mustafi,DF,3,1,10,30,0,0,0,6,0,0,13,610,836.6,129.9,202,117
Heung Min Son,MF,12,8,14,18,0,0,0,0,0,0,16,544,725.8,588.2,1177,249.1
Matthew Lowton,DF,0,3,8,26,0,0,0,1,0,0,4,450,574.6,264.9,46,89
Cesc Fabregas,MF,2,4,11,26,0,0,0,4,1,0,7,539,713.8,1349.3,485,254.9
Danny Simpson,DF,0,0,5,41,0,0,0,4,0,0,0,342,444.2,121.2,42,60.7
Allan Romeo Nyom,DF,0,1,7,40,0,0,0,7,0,0,6,407,454.6,266.7,23,74.3
Marko Arnautovic,MF,11,7,7,50,0,0,0,5,1,0,12,440,713.8,543,1155,241.1
Ben Davies,DF,2,7,12,20,0,0,0,3,0,0,14,615,610,698.8,201,151
Jeff Hendrick,MF,2,2,9,28,0,0,0,1,0,0,1,307,265.6,408.2,335,100.9
Christian Kabasele,DF,2,0,6,43,1,0,0,5,0,0,2,407,645,52,137,83.7
Antonio Rudiger,DF,2,1,12,22,0,0,0,4,0,0,8,557,546.6,83,217,84.8
Ryan Shawcross,DF,1,1,5,40,1,0,0,2,0,0,2,356,656,26.5,276,96
Yohan Cabaye,MF,0,4,8,36,0,0,0,7,0,0,3,415,431.2,754,348,153.5
Georginio Wijnaldum,MF,1,2,15,23,0,0,0,1,0,0,1,406,341.8,356.2,399,109.9
Jose Holebas,DF,0,4,6,47,0,0,0,7,0,0,6,412,510,632.8,125,127
James Tomkins,DF,3,0,9,32,0,0,0,8,0,0,9,512,712.6,22.4,309,104.7
Jonathan Hogg,MF,0,0,7,40,0,0,0,8,1,0,0,400,475,172.8,61,71.2
Mark Noble,MF,4,0,7,45,0,0,0,6,0,0,7,461,527.6,337.8,141,100.8
Anthony Knockaert,MF,3,1,11,29,0,0,0,4,1,0,6,383,404,557.2,530,149.1
Leroy Sane,MF,10,15,12,22,0,0,0,4,0,0,17,647,842.4,891.3,1013,274.4
Eden Hazard,MF,12,6,12,27,0,0,0,2,0,0,24,699,928,1127.3,1115,317.3
James McArthur,MF,5,2,7,35,0,0,0,5,0,0,9,416,490.6,333,566,138.9
Wayne Hennessey,GK,0,0,7,41,0,0,0,1,0,91,11,506,603.8,10,0,61.4
David Silva,MF,9,11,14,18,0,0,0,5,0,0,26,671,875.8,1118.5,867,286.5
Ashley Young,MF,2,6,9,26,0,0,0,7,0,0,11,479,601.2,502.3,213,131.6
Tom Ince,MF,2,1,7,39,0,0,0,0,0,0,3,269,253,331.3,794,138
Joshua King,FW,8,4,7,38,0,0,0,3,0,0,10,381,577,556.7,902,203.7
Stephen Ward,DF,1,1,9,27,0,0,0,1,0,0,9,484,498.4,270.9,82,85.4
Ayoze Perez,FW,8,6,8,28,1,0,0,3,0,0,15,420,571.8,539,809,191.7
Craig Dawson,DF,2,1,8,39,0,0,0,6,0,0,4,453,629.6,181.3,298,111.2
Wesley Hoedt,DF,0,2,5,42,0,0,0,7,0,0,11,532,661.6,130.9,146,93.8
Davinson Sanchez,DF,0,0,13,21,1,0,0,1,1,0,8,597,598,74.8,89,76.2
Marc Albrighton,MF,2,8,8,42,0,0,0,5,1,0,12,458,580,718.3,300,160.2
Chris Smalling,DF,4,0,11,24,0,0,0,4,0,0,9,590,743.8,35.3,230,101.2
Alexis Sanchez,MF,9,10,11,32,0,0,1,5,0,0,13,515,823.2,1155.2,1281,326.1
Wilfried Zaha,MF,9,7,10,31,0,0,0,5,0,0,8,404,668,716.9,1125,251
Michael Keane,DF,0,1,7,46,0,0,0,3,0,0,11,513,703.4,58.4,124,88.7
Tom Carroll,MF,0,4,7,39,0,0,0,3,0,0,6,431,452.8,748.6,172,137.5
Raheem Sterling,MF,18,17,13,23,0,0,0,3,1,0,19,701,969.8,838.2,1488,329.7
Mame Biram Diouf,FW,6,3,8,49,0,0,0,6,0,0,8,350,482,285.4,832,159.6
Ben Mee,DF,0,0,9,27,0,0,0,5,0,0,6,491,748.6,74.5,349,117.3
Jake Livermore,MF,2,2,8,41,0,0,0,5,0,0,6,375,454.6,313.1,207,97.8
Federico Fernandez,DF,1,1,7,44,1,0,0,5,0,0,10,500,736,75.4,187,100
Simon Francis,DF,0,1,4,47,0,0,0,8,1,0,3,491,726.8,418.4,163,131
Erik Pieters,DF,0,1,7,50,0,0,0,5,0,0,1,456,567.4,247.2,58,87.3
Antonio Valencia,DF,3,1,16,22,0,0,0,7,0,0,13,660,559.2,438.5,259,125.5
Idrissa Gueye,MF,2,2,9,45,0,0,0,6,1,0,7,552,577,303.6,166,104.6
Roberto Firmino,FW,15,8,16,32,0,0,0,1,0,0,29,758,951,834.5,1341,312.7
Steve Cook,DF,2,1,5,53,1,0,0,5,0,0,9,495,870,65.6,271,120.6
Salomon Rondon,FW,7,3,6,48,0,0,0,4,0,0,5,271,431.2,387.2,891,169.6
Kyle Walker,DF,0,6,15,22,1,0,0,2,1,0,8,691,542.4,511.4,117,117.1
James Tarkowski,DF,0,1,11,30,0,0,0,5,0,0,4,539,822,98.4,253,117.8
Dusan Tadic,MF,6,3,10,43,0,0,0,4,0,0,10,464,588.6,950.9,656,219.5
Cedric Soares,DF,0,3,7,44,0,0,0,3,0,0,2,481,507,455.6,159,112.3
Cheikhou Kouyate,MF,2,3,7,56,0,0,0,5,0,0,2,367,480,262.4,320,106.1
Matt Ritchie,MF,3,7,9,35,0,0,0,6,0,0,10,489,561.2,844.4,520,192.6
Jay Rodriguez,FW,7,1,10,41,0,0,0,2,0,0,11,335,460.4,329.8,931,171.1
Wes Morgan,DF,0,0,5,52,0,0,0,4,0,0,1,390,530,62,158,75.1
Richarlison de Andrade,MF,5,8,8,54,0,0,0,4,0,0,4,304,497,384.7,1217,209.3
Eric Dier,MF,0,2,15,30,0,0,0,4,0,0,2,477,604.2,293.4,289,118.6
Kieran Gibbs,DF,0,2,8,44,0,0,0,3,0,0,2,483,484.6,359.6,131,97.7
Johann Berg Gudmundsson,MF,2,9,10,33,0,0,0,2,0,0,7,467,599,1052,539,219.2
DeAndre Yedlin,DF,0,2,7,37,1,0,0,5,0,0,5,467,494.4,340.7,63,90
Jordan Ayew,FW,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944,185.8
Marcos Alonso,DF,7,2,13,30,0,0,0,6,0,0,15,650,697.8,549.6,822,207.1
Romelu Lukaku,FW,16,7,14,26,0,0,1,4,0,0,18,593,831,572.4,1334,273.2
Angelo Ogbonna,DF,1,0,7,60,0,0,0,3,0,0,4,520,687.8,81.4,145,91.4
Fernando Luiz Rosa,MF,5,4,15,24,0,0,0,7,0,0,9,596,800.2,511.9,411,172.4
Kurt Zouma,DF,1,0,7,50,0,0,0,1,0,0,5,554,814.2,91.8,235,114.4
Wilfred Ndidi,MF,0,4,9,45,0,0,0,6,2,0,4,449,640.4,230.7,299,117.2
Oriol Romeu Vidal,MF,1,0,8,47,0,0,0,11,0,0,0,474,616.2,338.7,231,118.7
Mohamed Salah,MF,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109,454.4
Jamaal Lascelles,DF,3,0,9,31,0,0,0,5,0,0,9,567,800,77.2,234,111.5
Pascal Gross,MF,7,8,10,46,0,0,0,2,0,0,24,635,735.4,1311,527,257.6
Riyad Mahrez,MF,12,13,9,51,0,0,0,2,0,0,19,682,966,924,932,282.6
Bamidele Alli,MF,9,13,16,28,0,0,0,7,0,0,12,565,775.2,878.5,934,258.8
Kasper Schmeichel,GK,0,0,8,47,1,2,0,3,0,93,17,592,687.2,11.1,0,69.9
Nicolas Otamendi,DF,4,0,15,25,1,0,0,9,0,0,21,742,846.6,224.6,363,143.7
NGolo Kante,MF,1,2,16,32,0,0,0,3,0,0,9,655,676,638.2,199,151.7
Charlie Daniels,DF,1,3,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196,125.9
Kyle Naughton,DF,0,2,9,50,1,0,0,1,0,0,11,561,670.6,253.3,141,106.9
Petr Cech,GK,0,0,11,48,0,1,0,1,0,90,7,627,722.4,0,0,71.9
Xherdan Shaqiri,MF,8,9,6,58,0,0,1,5,0,0,19,554,718,1151.6,676,255.2
Hector Bellerin,DF,2,4,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1
Aaron Mooy,MF,4,3,10,52,0,0,0,4,0,0,8,576,753.2,848.8,350,195.2
Aaron Cresswell,DF,1,7,10,60,0,0,0,7,0,0,10,613,690.2,562.7,193,145
Kevin De Bruyne,MF,8,18,19,22,0,0,0,2,0,0,25,872,1146.6,1744.2,797,368.9
Harry Kane,FW,29,2,15,34,0,0,1,5,0,0,31,781,1214.4,502.1,2355,407.4
Luka Milivojevic,MF,10,2,8,52,0,0,1,8,0,0,21,630,873.8,379,432,168.6
Nick Pope,GK,0,0,11,35,0,1,0,3,0,113,19,701,862.4,40,0,90.1
Nemanja Matic,MF,1,1,16,26,0,0,0,6,0,0,3,576,681.4,427.9,168,127.9
Davy Propper,MF,0,4,9,50,0,0,0,2,1,0,1,446,535.8,297.1,255,108.9
Andros Townsend,MF,2,9,9,48,0,0,0,3,0,0,7,552,626,1012.1,587,222.8
Ryan Bertrand,DF,0,5,8,49,0,0,0,2,0,0,4,553,515.2,589.1,286,139.3
Joe Allen,MF,2,6,6,55,0,0,0,8,0,0,12,527,691.8,512.3,339,154.3
Martin Olsson,DF,0,1,10,50,0,0,0,7,0,0,0,454,324.4,295.9,133,75.4
Thibaut Courtois,GK,0,0,15,34,0,0,0,2,0,77,4,635,549,0,0,55.2
Jack Butland,GK,0,0,6,61,1,0,0,0,0,145,16,687,1013.4,10,0,102.5
Ederson Santana de Moraes,GK,0,0,16,26,0,2,0,1,0,58,10,666,546.2,10,0,55.6
Jan Vertonghen,DF,0,1,16,31,0,0,0,4,0,0,13,778,774.4,205.7,243,122.7
Christian Eriksen,MF,11,10,17,33,0,0,0,0,0,0,23,826,1072.6,1487,1021,358.2
Hugo Lloris,GK,0,0,15,35,0,0,0,1,0,87,6,694,726.4,0.1,0,72.3
Dale Stephens,MF,0,3,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176,107.7
Jamie Vardy,FW,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222,248.6
Granit Xhaka,MF,1,8,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3
Christopher Schindler,DF,0,2,9,53,0,0,0,6,1,0,15,692,928,107.1,149,119.1
Pablo Zabaleta,DF,0,1,10,62,1,0,0,9,0,0,6,563,635,293.7,77,100.7
Shane Duffy,DF,0,2,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361,148.9
Abdoulaye Doucoure,MF,7,4,9,63,0,0,0,10,0,0,16,679,859,595.8,537,199.7
David De Gea,GK,0,0,18,28,0,0,0,0,0,115,10,757,821.2,10,0,83.4
Cesar Azpilicueta,DF,2,6,15,38,1,0,0,1,0,0,25,913,967.4,535.7,168,167.5
Ben Foster,GK,0,0,10,55,0,0,0,2,0,99,11,635,716.8,20,0,73.8
Nathan Ake,DF,2,3,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287,133.5
Ahmed El Sayed Hegazi,DF,2,0,10,55,0,0,0,4,0,0,11,646,962.8,99.5,196,126.1
Jordan Pickford,GK,0,0,10,58,0,1,0,0,0,121,16,724,873.6,30.1,4,90.7
Harry Maguire,DF,2,4,9,60,0,0,0,7,0,0,10,716,955.8,254.3,478,168.8
Mathew Ryan,GK,0,0,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1
Lewis Dunk,DF,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425,157.9
Jonas Lossl,GK,0,1,10,58,1,2,0,1,0,103,11,701,846.8,30,0,87.8
Mathias Jorgensen,DF,0,3,10,58,0,0,0,6,0,0,9,623,768.6,123.6,169,106.2
Lukasz Fabianski,GK,0,0,9,56,0,3,0,0,0,137,14,772,1087.8,10,0,109.9
Alfie Mawson,DF,2,1,9,56,0,0,0,3,0,0,7,662,848.4,86.4,254,119.4
Jack Cork,MF,2,1,12,39,0,0,0,7,0,0,6,533,589.6,332.8,265,119
Asmir Begovic,GK,0,0,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8
